# name tx ty tz qx qy qz qw
frame_000240.jpg -5.244368 -0.194196 2.313189 0.020961 -0.760425 0.089606 0.642873
frame_000255.jpg -3.546706 -0.223965 1.826266 0.011794 -0.676199 0.093375 0.730682
frame_000270.jpg -3.138414 -0.255373 0.988139 0.013578 -0.668008 0.089360 0.738644
frame_000285.jpg -2.993347 -0.292195 0.291742 0.016268 -0.654277 0.085748 0.751202
frame_000300.jpg -3.023786 -0.299132 -0.242340 0.018124 -0.638480 0.081919 0.765052
frame_000315.jpg -3.000419 -0.347760 -0.893733 0.019917 -0.630892 0.079973 0.771481
frame_000330.jpg -2.921032 -0.333618 -1.492295 0.025425 -0.631269 0.075622 0.771449
frame_000345.jpg -2.794649 -0.348572 -2.058452 0.028514 -0.633397 0.074320 0.769722
frame_000360.jpg -2.762743 -0.342711 -2.262167 0.030695 -0.633594 0.073076 0.769595
frame_000375.jpg -2.828446 -0.339653 -2.220363 0.029293 -0.623842 0.071496 0.777722
frame_000390.jpg -3.342703 -0.344853 -1.935456 0.027493 -0.562294 0.067411 0.823726
frame_000405.jpg -4.226475 -0.326148 -1.089537 0.033083 -0.454656 0.064593 0.887706
frame_000420.jpg -4.876627 -0.321552 -0.003752 0.027085 -0.349520 0.055850 0.934871
frame_000435.jpg -4.708559 -0.269608 0.444197 0.017935 -0.278135 0.044893 0.959325
frame_000450.jpg -4.419788 -0.165402 0.910521 0.014574 -0.220766 0.036254 0.974544
frame_000465.jpg -4.118618 -0.081939 1.318665 0.011251 -0.166984 0.028141 0.985494
frame_000480.jpg -3.774732 -0.006194 1.672075 0.008300 -0.111308 0.020873 0.993532
frame_000495.jpg -3.290050 0.097845 2.119076 0.004089 -0.038109 0.010494 0.999210
frame_000510.jpg -2.691860 0.194713 2.534915 -0.002276 0.040318 -0.000110 0.999184
frame_000525.jpg -2.343462 0.259861 2.714583 -0.005030 0.084700 -0.006592 0.996372
frame_000540.jpg -2.262675 0.261102 2.753119 -0.006306 0.093743 -0.007776 0.995546
frame_000555.jpg -2.266215 0.260660 2.745880 -0.006232 0.094584 -0.007664 0.995468
frame_000570.jpg -1.987112 0.277660 2.656462 -0.007726 0.114174 -0.010699 0.993373
frame_000585.jpg -1.539451 0.257859 2.216783 -0.009738 0.134799 -0.013856 0.990728
frame_000600.jpg -1.248887 0.166007 1.400889 -0.010745 0.141403 -0.015097 0.989779
