# name tx ty tz qx qy qz qw
frame_000000.jpg -1.550888 0.514563 4.346808 0.233163 0.895907 -0.076439 0.370328
frame_000015.jpg -1.550149 0.515434 4.347627 0.233145 0.895907 -0.076552 0.370315
frame_000030.jpg -1.550454 0.514914 4.347375 0.233242 0.895897 -0.076428 0.370305
frame_000045.jpg -1.598947 0.510750 4.314735 0.232855 0.893963 -0.074771 0.375525
frame_000060.jpg -1.472248 0.510747 4.298745 0.233419 0.898209 -0.078468 0.364115
frame_000075.jpg -1.541462 0.497809 4.196120 0.232847 0.896582 -0.076782 0.368818
frame_000090.jpg -1.506845 0.477704 4.046408 0.232707 0.897939 -0.078131 0.365307
frame_000105.jpg -1.392359 0.462449 3.925273 0.233368 0.901684 -0.081041 0.354876
frame_000120.jpg -1.244566 0.451213 3.786733 0.233554 0.906803 -0.086104 0.340217
frame_000135.jpg -1.157837 0.436059 3.627899 0.233090 0.909124 -0.088542 0.333650
frame_000150.jpg -1.146092 0.408931 3.400191 0.233037 0.908415 -0.088093 0.335733
frame_000165.jpg -1.141417 0.377935 3.159689 0.232762 0.907337 -0.086732 0.339175
frame_000180.jpg -1.116924 0.343595 2.917742 0.233079 0.906944 -0.086184 0.340147
frame_000195.jpg -1.177551 0.305462 2.653742 0.232375 0.903245 -0.081875 0.351350
frame_000210.jpg -1.253051 0.272000 2.344524 0.232200 0.898580 -0.077015 0.364289
frame_000225.jpg -1.252905 0.220388 2.080338 0.232526 0.897858 -0.079224 0.365386
frame_000240.jpg -1.167672 0.220012 1.870873 0.232083 0.901298 -0.080543 0.356808
frame_000255.jpg -1.066618 0.207844 1.644345 0.231977 0.905297 -0.083207 0.345979
frame_000270.jpg -0.983061 0.197904 1.399692 0.231792 0.908364 -0.084104 0.337747
frame_000285.jpg -0.990266 0.127874 1.134168 0.232567 0.908632 -0.087732 0.335565
frame_000300.jpg -0.984344 0.105173 0.904497 0.232418 0.907442 -0.086896 0.339086
frame_000315.jpg -0.972730 0.083448 0.666490 0.232176 0.905748 -0.083655 0.344553
frame_000330.jpg -0.962461 0.064619 0.459604 0.231775 0.903256 -0.081119 0.351892
frame_000345.jpg -0.986278 0.027295 0.238992 0.231711 0.901209 -0.079266 0.357559
frame_000360.jpg -0.993861 -0.006428 -0.022922 0.232042 0.897943 -0.076078 0.366152
frame_000375.jpg -0.982039 -0.029558 -0.222143 0.231765 0.898516 -0.076916 0.364744
frame_000390.jpg -0.963213 -0.060405 -0.435431 0.231443 0.900141 -0.079714 0.360313
frame_000405.jpg -0.940256 -0.079538 -0.649901 0.232346 0.901016 -0.080984 0.357249
frame_000420.jpg -0.929852 -0.111305 -0.878519 0.232426 0.901536 -0.081920 0.355669
frame_000435.jpg -0.898685 -0.129058 -1.087568 0.232705 0.901583 -0.081893 0.355372
frame_000450.jpg -0.888194 -0.161333 -1.295602 0.231978 0.900968 -0.081892 0.357403
frame_000465.jpg -0.907357 -0.181293 -1.494724 0.232453 0.901840 -0.082582 0.354725
frame_000480.jpg -0.868461 -0.206212 -1.699698 0.232651 0.898857 -0.080183 0.362629
frame_000495.jpg -0.821224 -0.246063 -1.922306 0.230733 0.895264 -0.076853 0.373308
frame_000510.jpg -0.810020 -0.271085 -2.167799 0.231023 0.893339 -0.075384 0.378009
frame_000525.jpg -0.841271 -0.299249 -2.384774 0.231715 0.896910 -0.078211 0.368434
frame_000540.jpg -0.902156 -0.340954 -2.572748 0.231121 0.902681 -0.084026 0.353115
frame_000555.jpg -0.896772 -0.368744 -2.825925 0.231200 0.903062 -0.084174 0.352050
frame_000570.jpg -0.874932 -0.417161 -3.066166 0.230433 0.902813 -0.084464 0.353121
frame_000585.jpg -0.856831 -0.425627 -3.296953 0.231660 0.903324 -0.083450 0.351250
frame_000600.jpg -0.878379 -0.439687 -3.501994 0.232288 0.904450 -0.083675 0.347867
frame_000615.jpg -0.836746 -0.486656 -3.692891 0.230516 0.904529 -0.084486 0.348642
frame_000630.jpg -0.662812 -0.513243 -3.884903 0.229783 0.902384 -0.082280 0.355153
frame_000645.jpg -0.871472 -0.584901 -4.092865 0.230208 0.906105 -0.088675 0.343678
frame_000660.jpg -1.010824 -0.638424 -4.251682 0.227863 0.909611 -0.092941 0.334735
frame_000675.jpg -0.915925 -0.573142 -4.434532 0.230957 0.909185 -0.088910 0.334868
frame_000690.jpg -0.974424 -0.633115 -4.590581 0.229018 0.912452 -0.094022 0.325793
frame_000705.jpg -1.166312 -0.630069 -4.716230 0.230256 0.919014 -0.100692 0.303738
frame_000720.jpg -1.572940 -0.669288 -4.772316 0.230295 0.929238 -0.113775 0.265586
frame_000735.jpg -1.986404 -0.652905 -4.737612 0.230135 0.939500 -0.125614 0.220450
frame_000750.jpg -2.571365 -0.649943 -4.557442 0.228987 0.949682 -0.143185 0.158641
frame_000765.jpg -3.295871 -0.545791 -4.130314 0.226780 0.957352 -0.161123 0.078017
frame_000780.jpg -3.780841 -0.617153 -3.685580 0.222080 0.957555 -0.183006 0.016661
frame_000795.jpg -4.185905 -0.521691 -3.191638 0.218709 0.954235 -0.197471 -0.051054
frame_000810.jpg -4.578249 -0.488337 -2.647579 0.211772 0.946656 -0.213382 -0.116028
frame_000825.jpg -4.893959 -0.453041 -1.974176 0.211945 0.930774 -0.235124 -0.182910
frame_000840.jpg -5.086163 -0.288221 -1.299533 0.199166 0.914724 -0.242222 -0.254838
frame_000855.jpg -3.711311 2.053500 -0.549455 0.027804 0.990019 0.071485 -0.118232
frame_000870.jpg -5.181631 -0.150101 -0.338053 0.184747 0.880150 -0.257960 -0.353073
frame_000885.jpg -5.148267 -0.170478 -0.242909 0.186859 0.870766 -0.265789 -0.369062
frame_000900.jpg -5.101287 -0.169712 -0.456447 0.186490 0.873388 -0.262627 -0.365297
frame_000915.jpg -5.110026 -0.155101 -0.546571 0.180819 0.871533 -0.260154 -0.374238
frame_000930.jpg -5.116650 -0.141712 -0.483701 0.176655 0.861215 -0.263224 -0.397259
frame_000945.jpg -5.118813 -0.151001 -0.461167 0.175222 0.851261 -0.268253 -0.415562
frame_000960.jpg -5.127609 -0.157684 -0.531864 0.173145 0.844615 -0.270360 -0.428429
frame_000975.jpg -5.138366 -0.169537 -0.562091 0.170642 0.836594 -0.274064 -0.442585
frame_000990.jpg -5.160534 -0.103482 -0.308067 0.159311 0.816802 -0.274173 -0.481958
frame_001005.jpg -5.140541 -0.076305 -0.020921 -0.156537 -0.790941 0.282828 0.519534
frame_001020.jpg -5.117350 -0.043896 0.328034 -0.147689 -0.763867 0.288825 0.557921
frame_001035.jpg -5.022244 0.007494 0.830534 -0.136676 -0.725856 0.295832 0.605752
frame_001050.jpg -4.674055 0.133476 1.804656 -0.114378 -0.652081 0.302134 0.685874
frame_001065.jpg -4.243761 0.236505 2.502817 -0.096345 -0.589856 0.303836 0.741937
frame_001080.jpg -3.671271 0.321361 3.145390 -0.077186 -0.520385 0.304194 0.794172
frame_001095.jpg -2.947598 0.409503 3.702423 -0.056017 -0.443111 0.301429 0.842411
frame_001110.jpg -2.361598 0.457138 4.005753 -0.040999 -0.385088 0.298128 0.872437
frame_001125.jpg -1.858091 0.481672 4.084898 -0.029270 -0.342039 0.293156 0.892307
frame_001140.jpg -1.755346 0.463354 3.945011 -0.028037 -0.337646 0.292725 0.894160
frame_001155.jpg -1.651831 0.440440 3.800155 -0.025084 -0.329144 0.291754 0.897728
frame_001170.jpg -1.528128 0.421835 3.647596 -0.021373 -0.315738 0.291021 0.902862
frame_001185.jpg -1.554295 0.394281 3.437863 -0.022141 -0.319513 0.291298 0.901425
frame_001200.jpg -1.664358 0.359661 3.169506 -0.025885 -0.333728 0.292510 0.895764
frame_001215.jpg -1.722465 0.329138 2.937055 -0.028048 -0.342997 0.293195 0.891966
frame_001230.jpg -1.689654 0.308142 2.753088 -0.027689 -0.340477 0.293499 0.892842
frame_001245.jpg -1.652371 0.282640 2.565087 -0.026608 -0.337365 0.293085 0.894191
frame_001260.jpg -1.617104 0.261412 2.361360 -0.026094 -0.334584 0.292329 0.895498
frame_001275.jpg -1.578715 0.238570 2.139342 -0.026008 -0.331387 0.292467 0.896643
frame_001290.jpg -1.540412 0.211453 1.919972 -0.025145 -0.328069 0.292141 0.897993
frame_001305.jpg -1.507248 0.186048 1.682572 -0.024995 -0.325781 0.291693 0.898976
frame_001320.jpg -1.480919 0.161807 1.457916 -0.025331 -0.324003 0.291918 0.899536
frame_001335.jpg -1.453422 0.126671 1.198213 -0.024731 -0.324458 0.292131 0.899319
frame_001350.jpg -1.425679 0.093535 0.937072 -0.025081 -0.326286 0.291909 0.898720
frame_001365.jpg -1.423971 0.058981 0.662206 -0.025331 -0.328241 0.293012 0.897641
frame_001380.jpg -1.393683 0.017591 0.367704 -0.026138 -0.333643 0.293055 0.895610
frame_001395.jpg -1.375550 -0.016307 0.086621 -0.027128 -0.336921 0.293385 0.894245
frame_001410.jpg -1.348253 -0.048959 -0.176245 -0.027433 -0.340766 0.293331 0.892795
frame_001425.jpg -1.327127 -0.084285 -0.466770 -0.028716 -0.346053 0.293643 0.890616
frame_001440.jpg -1.315934 -0.117038 -0.750153 -0.029831 -0.347921 0.294048 0.889717
frame_001455.jpg -1.271789 -0.159352 -1.032598 -0.030926 -0.350194 0.294024 0.888796
