frame,keypoints,lap_var,top,mid,bottom
0,1200,419.00662759035094,764,422,14
311,1175,231.4102155608786,508,624,43
779,1075,217.73217911687644,424,466,185
1559,1200,406.3592864753878,737,442,21
2339,1151,246.222152611332,442,472,237
2807,1189,649.3797046941339,612,576,1
3118,1198,433.1934105251152,705,472,21
