frame,keypoints,lap_var,top,mid,bottom
0,869,313.6601725056108,204,405,260
461,297,87.6665118216208,36,160,101
1153,1148,209.20780717797743,59,734,355
2306,406,102.45749061432676,120,205,81
3459,1182,213.669449979152,76,749,357
4150,282,142.56465862160846,106,90,86
4611,1048,340.4687991021687,116,605,327
